CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,CrimeHead,CrimeSubHead,PoliceStation,PoliceStationType,District,Court,EmployeeID,Officer,OfficerRank,OfficerDesignation,Status,CaseCategory,Gravity,AccusedCount,AccusedNames,VictimCount,VictimNames,Complainant,ArrestCount,ChargesheetCount,LatestChargesheetDate,ChargesheetStatus,Acts,Sections,InfoReceivedPSDate,IncidentFromDate,IncidentToDate,Latitude,Longitude,BriefFacts
11,1.0001e+17,202600002,2026-04-18,Crimes Against Property,Criminal Trespass,Jayanagar Women PS,Women Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,463,Luke,Head Constable,Traffic Officer,Pending Trial,FIR,Non-Heinous,1,Sathvik Dara,0,,Isha Sem,0,0,,Pending,BNS,Burglary; Robbery; Theft,2026-04-17 19:00:00,2026-04-17 08:00:00,2026-04-17 08:00:00,12.995837,77.721289,Aperiam placeat minus laboriosam quod sunt animi deleniti aliquam atque iste adipisci tempora aperiam eveniet voluptate non dicta eius magni rem magni dolorum.
12,1.0001e+17,202600001,2026-02-06,Cyber Crime,Identity Theft,Ashok Nagar Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,346,Farhan,Police Constable,Traffic Officer,Charge Sheeted,FIR,Non-Heinous,0,,0,,Upasna Varma,0,1,2026-04-19,Filed,IT Act,Cheating by Personation; Computer Related Offences,2026-02-04 03:00:00,2026-02-03 12:00:00,2026-02-03 16:00:00,13.020583,77.609218,Ipsam asperiores dolores asperiores pariatur quos tempore culpa quaerat optio corporis sunt voluptas dolor veritatis id laborum voluptatibus rerum.
13,1.0001e+17,202600001,2026-01-17,Economic Offences,Criminal Breach of Trust,Madivala Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,276,Raghav,Police Sub-Inspector (PSI),Traffic Officer,Undetected,FIR,Non-Heinous,0,,0,,Dhruv Sami,0,0,,Pending,BNS,Cheating; Mischief,2026-01-15 03:00:00,2026-01-14 16:00:00,2026-01-14 18:00:00,12.977039,77.692209,Excepturi deserunt et quam accusantium mollitia ipsam accusantium ex numquam maiores aperiam voluptates ratione voluptas autem eaque aliquam quod.
14,1.0001e+17,202600001,2026-01-19,Economic Offences,Counterfeiting,Whitefield Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,72,Xavier,Police Constable,Crime Branch Officer,Closed - False Case,FIR,Non-Heinous,1,Nachiket Mody,3,Anya Vyas; Imaran Edwin; Aryan Golla,Turvi Loyal; Vasana Apte,1,1,2026-03-12,Filed,BNS,Mischief,2026-01-17 22:00:00,2026-01-17 18:00:00,2026-01-17 21:00:00,12.880587,77.68308,Illo modi maiores libero eveniet eius reiciendis delectus tempora eaque accusantium at ea non dolore eaque.
15,1.0001e+17,202600001,2026-01-17,Traffic & Motor Vehicle Offences,Rash Driving,Ramamurthy Nagar Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,24,Balveer,Deputy Superintendent of Police (DySP),Circle Inspector,Under Investigation,FIR,Non-Heinous,2,Abhimanyu Bobal; Tanveer Gade,1,Prisha Bhagat,Hardik Dey,0,0,,Pending,MV Act,Dangerous Driving; Driving without Insurance; Duty in Accident Cases,2026-01-16 19:00:00,2026-01-16 10:00:00,2026-01-16 16:00:00,12.859897,77.683699,Quis enim magnam debitis expedita accusantium dolorum accusamus quasi mollitia deleniti labore vel autem reprehenderit inventore libero rerum hic magni porro voluptatem.
16,1.0001e+17,202600001,2026-02-26,Crimes Against Public Order,Rioting,Vyalikaval Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,367,Advaith,Asst Sub-Inspector (ASI),Reserve Sub-Inspector,Under Investigation,FIR,Non-Heinous,1,Ikbal Parikh,0,,Jason Banerjee,1,0,,Pending,BNS,Criminal Intimidation,2026-02-25 19:00:00,2026-02-25 16:00:00,2026-02-25 18:00:00,12.95444,77.724628,Assumenda sapiente sit perferendis eligendi doloribus eos itaque culpa ipsum ea vitae.
17,1.0001e+17,202600001,2026-03-11,Narcotics & NDPS,Drug Trafficking,Vijayanagar Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,120,Kamya,Asst Sub-Inspector (ASI),Reserve Sub-Inspector,Under Investigation,FIR,Heinous,0,,3,Falan Mander; Anthony Varghese; Yashasvi Dewan,Saumya Nanda,0,0,,Pending,NDPS Act,Possession of Manufactured Drugs; Possession/Sale of Cannabis,2026-03-09 10:00:00,2026-03-09 04:00:00,2026-03-09 10:00:00,12.987762,77.506837,A fugit labore magnam dicta magnam a eaque at id aliquam ad esse doloremque.
18,1.0001e+17,202600001,2026-03-07,Traffic & Motor Vehicle Offences,Hit and Run,Kengeri Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,133,Bhavya,Sub-Inspector (SI),Crime Branch Officer,Closed - False Case,FIR,Non-Heinous,1,Harshil Kashyap,1,Baljiwan Lanka,Bachittar Som,1,1,2026-04-01,Filed,MV Act,Dangerous Driving; Driving without Insurance,2026-03-04 18:00:00,2026-03-04 17:00:00,2026-03-04 18:00:00,13.067634,77.651163,Quidem necessitatibus repellat accusamus placeat reiciendis quae vero officia assumenda aliquam odio vero fugiat iste amet accusantium minus doloribus eaque itaque architecto.
19,1.0001e+17,202600001,2026-05-09,Crimes Against Property,Theft,Kamakshipalya Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,115,Ayush,Police Constable,Traffic Officer,Under Investigation,FIR,Non-Heinous,2,Krish Ram; Henry Borde,3,Irya Muni; Vritti Badal; Veer Bose,Viraj Shukla,0,0,,Pending,BNS,Dacoity; Robbery; Theft,2026-05-08 08:00:00,2026-05-07 23:00:00,2026-05-08 00:00:00,13.054261,77.49316,Laudantium fugit laboriosam placeat quisquam nulla odit aspernatur corporis ducimus quia esse necessitatibus accusamus aperiam eaque perferendis porro perferendis enim maxime.
20,1.0001e+17,202600001,2026-05-10,Crimes Against Public Order,Public Nuisance,CEN PS Cyber Crime Cubbon Park,CEN Police Station,Bangalore Urban,Fast Track Court Bengaluru,478,Manbir,Head Constable,Cyber Cell Officer,Charge Sheeted,FIR,Non-Heinous,1,Robert Bose,1,Ria Bhattacharyya,Abha Mann,1,1,2026-07-22,Filed,BNS,Criminal Intimidation,2026-05-09 23:00:00,2026-05-09 07:00:00,2026-05-09 11:00:00,13.051169,77.697923,At quibusdam ea facere nobis occaecati eius beatae facilis libero soluta hic culpa veniam placeat illo quas impedit fugiat commodi ex eveniet excepturi id.
21,1.0001e+17,202600001,2026-05-09,Cyber Crime,Cyberstalking,Banasawadi Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,20,Nandini,Police Constable,Traffic Officer,Under Investigation,FIR,Non-Heinous,1,Xavier Bawa,1,Umang Devi,Banjeet Bawa,0,0,,Pending,IT Act,Computer Related Offences; Identity Theft,2026-05-06 14:00:00,2026-05-06 04:00:00,2026-05-06 04:00:00,12.968465,77.692766,Unde quidem sequi eligendi amet optio odio corrupti voluptas ipsa et quo quos incidunt adipisci quis id soluta mollitia.
22,1.0001e+17,202600001,2026-02-07,Crimes Against Property,Robbery,BTM Layout Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,262,Parth,Asst Sub-Inspector (ASI),Women's Cell Officer,Closed - False Case,FIR,Non-Heinous,4,Advaith Sachar; Triveni Viswanathan; Raghav Madan; Azaan Tara,1,Qarin Kuruvilla,Chandani Nagar,2,1,2026-04-30,Filed,BNS,Burglary; Dacoity; Theft,2026-02-05 18:00:00,2026-02-05 06:00:00,2026-02-05 08:00:00,12.853117,77.468198,Consectetur iusto exercitationem error qui voluptate ea omnis error nam hic cumque cum dignissimos temporibus libero dolore temporibus voluptatum ipsum consequuntur deserunt at.
23,1.0001e+17,202600002,2026-04-03,Narcotics & NDPS,Possession of Narcotics,Kamakshipalya Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,113,Ayush,Police Constable,Station House Officer (SHO),Under Investigation,FIR,Heinous,2,Udarsh Kothari; Isaac Dubey,1,Rohan Wable,Yash Acharya,1,0,,Pending,NDPS Act,Possession of Manufactured Drugs; Possession/Sale of Cannabis,2026-04-02 22:00:00,2026-04-02 08:00:00,2026-04-02 12:00:00,12.907846,77.719312,Nemo facere placeat minus ratione sed at tempore fugit officia inventore est repellendus voluptas consectetur incidunt quis.
24,1.0001e+17,202600002,2026-04-06,Crimes Against Body,Assault,Ashok Nagar Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,352,Vasana,Inspector of Police,Circle Inspector,Charge Sheeted,FIR,Non-Heinous,3,Aadi Anne; Victor Mallick; Keya Soman,3,Daksh Chaudhary; Mason Vohra; Sara Lal,Jeremiah Wable,3,1,2026-05-24,Filed,BNS,Grievous Hurt,2026-04-06 01:00:00,2026-04-05 16:00:00,2026-04-05 19:00:00,13.038914,77.706277,Minima placeat velit quam officia quisquam itaque mollitia aliquam quos doloremque ullam officia esse.
25,1.0001e+17,202600002,2026-03-03,Crimes Against Women,Rape,Sanjaynagar Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,171,Anirudh,Police Constable,Circle Inspector,Under Investigation,FIR,Non-Heinous,0,,0,,Nimrat Hari,0,0,,Pending,DP Act; POCSO,Giving/Taking Dowry; Penetrative Sexual Assault,2026-03-01 21:00:00,2026-03-01 10:00:00,2026-03-01 13:00:00,12.868793,77.600181,Doloremque doloribus vero provident esse accusantium libero perferendis in ducimus pariatur unde dolorem alias excepturi in placeat dicta reiciendis qui magnam dignissimos.
26,1.0001e+17,202600003,2026-03-29,Crimes Against Public Order,Public Nuisance,Basavanagudi Women PS,Women Police Station,Bangalore Urban,Fast Track Court Bengaluru,452,Mason,Head Constable,Investigating Officer (IO),Charge Sheeted,FIR,Non-Heinous,2,George Vohra; Amol Muni,2,Naksh Chowdhury; Fitan Narayan,George Ramaswamy,2,1,2026-06-06,Filed,BNS,Criminal Intimidation,2026-03-26 06:00:00,2026-03-26 01:00:00,2026-03-26 01:00:00,12.992404,77.716175,Iure eaque suscipit autem numquam nostrum tempore laborum tenetur animi nisi ullam amet ad nisi impedit.
27,1.0001e+17,202600001,2026-05-02,Narcotics & NDPS,Possession of Narcotics,Hebbal Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,164,Jagat,Head Constable,Investigating Officer (IO),Disposed by Court,FIR,Non-Heinous,3,Kabir Hayer; Pallavi Patil; Oliver Bassi,3,Tripti Kota; Anusha Prashad; Vincent Bhatnagar,Qabil Som,3,1,2026-06-24,Filed,NDPS Act,Consumption of Narcotic Drug,2026-04-29 11:00:00,2026-04-29 10:00:00,2026-04-29 10:00:00,13.063866,77.741672,Saepe voluptates ipsam autem aspernatur aspernatur in suscipit natus quis fugit quisquam est rem assumenda provident deserunt molestiae ipsum.
28,4.0001e+17,202600001,2026-03-13,Traffic & Motor Vehicle Offences,Rash Driving,HSR Layout Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,375,Ojas,Police Constable,Reserve Sub-Inspector,Charge Sheeted,PAR,Non-Heinous,1,Jacob Narang,1,Aayush Mitter,Dominic Taneja,0,1,2026-05-13,Filed,MV Act,Dangerous Driving; Driving without Insurance; Duty in Accident Cases,2026-03-11 16:00:00,2026-03-11 08:00:00,2026-03-11 13:00:00,12.911765,77.738184,Quia porro unde error quam nisi rem veniam aperiam repudiandae autem quaerat iure quod ratione totam.
29,1.0001e+17,202600002,2026-02-20,Narcotics & NDPS,Drug Trafficking,Whitefield Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,70,Kavya,Sub-Inspector (SI),Beat Constable,Disposed by Court,FIR,Heinous,2,Divya Memon; Meera Loyal,1,Turvi Sharma,Gabriel Kaur,1,1,2026-03-30,Filed,NDPS Act,Consumption of Narcotic Drug; Possession of Manufactured Drugs,2026-02-20 10:00:00,2026-02-20 00:00:00,2026-02-20 06:00:00,13.041464,77.50818,Itaque quos nisi maiores hic cum illum officiis laboriosam molestias cum incidunt autem asperiores numquam dignissimos in voluptates.
30,1.0001e+17,202600003,2026-07-02,Crimes Against Property,Dacoity,Sanjaynagar Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,166,Advik,Head Constable,Reserve Sub-Inspector,Disposed by Court,FIR,Non-Heinous,1,Ikshita Hari,1,Jackson Dar,Rachit Baria,0,1,2026-08-12,Filed,BNS,Burglary; Robbery,2026-06-30 14:00:00,2026-06-30 08:00:00,2026-06-30 13:00:00,12.897671,77.64574,Ducimus ea ipsa delectus doloremque eligendi tenetur deleniti aperiam dolorum doloribus minima officiis aut iure alias a sunt doloremque.
31,1.0001e+17,202600002,2026-03-21,Crimes Against Body,Kidnapping,Indiranagar Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,42,Ekiya,Police Constable,Crime Branch Officer,Charge Sheeted,FIR,Heinous,2,Ria Goyal; Balvan Jani,1,Abdul Narang,Joshua Barad,0,1,2026-05-08,Filed,BNS,Grievous Hurt,2026-03-18 17:00:00,2026-03-18 17:00:00,2026-03-18 17:00:00,12.898257,77.559275,Fuga sint ipsum ea quod veniam autem nisi nulla dolor fuga consequuntur.
32,1.0001e+17,202600002,2026-06-26,Crimes Against Body,Attempt to Murder,Kengeri Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,132,Ekaja,Police Constable,Circle Inspector,Closed - False Case,FIR,Non-Heinous,2,Guneet Raman; Harsh Ahuja,2,Nimrat Parikh; Sathvik Badami,Mitesh Sahni,2,1,2026-07-15,Filed,BNS,Attempt to Murder; Murder,2026-06-24 14:00:00,2026-06-24 08:00:00,2026-06-24 10:00:00,13.008495,77.732975,Recusandae molestias aperiam aut hic mollitia odit at cum possimus illum.
33,1.0001e+17,202600002,2026-05-20,Crimes Against Property,Robbery,Madivala Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,274,Darika,Head Constable,Station House Officer (SHO),Disposed by Court,FIR,Non-Heinous,2,Avi Rama; Faris Kapadia,1,Anya Subramanian,Rudra Mitra,2,1,2026-08-17,Filed,BNS,Dacoity; Theft,2026-05-18 14:00:00,2026-05-18 07:00:00,2026-05-18 08:00:00,13.00615,77.512502,Temporibus incidunt reprehenderit illo sunt itaque cum accusamus mollitia odit tenetur at numquam fuga magnam corporis eligendi maxime unde autem.
34,1.0001e+17,202600001,2026-01-17,Traffic & Motor Vehicle Offences,Vehicle Theft,K.G. Halli Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,416,Samesh,Police Constable,Investigating Officer (IO),Charge Sheeted,FIR,Non-Heinous,1,Bahadurjit Dave,3,Wishi Shroff; Vansha Shanker; Vritti Ratta,Gaurav Bajaj; Udant Thakur,1,1,2026-03-05,Filed,MV Act,Dangerous Driving; Driving without Insurance; Duty in Accident Cases,2026-01-15 03:00:00,2026-01-14 22:00:00,2026-01-15 00:00:00,13.052111,77.645998,Illo sed repudiandae delectus dolor id maxime fugit commodi doloribus quam tempore aliquam natus quidem alias saepe blanditiis nobis mollitia occaecati esse in nesciunt incidunt.
35,1.0001e+17,202600001,2026-06-16,Traffic & Motor Vehicle Offences,Vehicle Theft,Halasuru Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,50,Udyati,Police Constable,Station House Officer (SHO),Charge Sheeted,FIR,Non-Heinous,1,Nathan Naik,2,Mitali Gandhi; Bachittar Panchal,Gunbir Deep,1,1,2026-09-11,Filed,MV Act,Dangerous Driving,2026-06-15 04:00:00,2026-06-14 22:00:00,2026-06-15 04:00:00,12.942952,77.636304,Inventore at ipsam magni aliquam odio aspernatur quasi quod maiores amet magnam fugiat veritatis consequatur sequi voluptatum quasi.
36,8.0001e+17,202600001,2026-04-17,Cyber Crime,Cyberstalking,Chandra Layout Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,104,Advika,Asst Sub-Inspector (ASI),Reserve Sub-Inspector,Closed - False Case,Zero FIR,Non-Heinous,3,Noah Bumb; Jyoti Goda; Manbir Varty,2,Quincy Lanka; Qarin Dhingra,Lajita Wason,2,1,2026-05-07,Filed,IT Act,Cheating by Personation; Computer Related Offences; Identity Theft,2026-04-15 07:00:00,2026-04-14 19:00:00,2026-04-14 19:00:00,13.032008,77.5111,Eius repellendus corporis magnam ullam dignissimos ea magni eum alias delectus cum vel perspiciatis tempora cumque quos beatae minus odio facere sit nam neque.
37,4.0001e+17,202600001,2026-05-04,Narcotics & NDPS,Drug Trafficking,Koramangala Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,272,Dakshesh,Deputy Superintendent of Police (DySP),Investigating Officer (IO),Pending Trial,PAR,Non-Heinous,0,,1,Chatresh Virk,Aadhya Pant,0,0,,Pending,NDPS Act,Consumption of Narcotic Drug; Possession of Manufactured Drugs,2026-05-02 17:00:00,2026-05-02 08:00:00,2026-05-02 08:00:00,13.022054,77.717341,Est vitae sit unde tempore quasi quia dolore enim numquam in facilis aliquid laborum nostrum aliquid.
38,1.0001e+17,202600001,2026-02-08,Crimes Against Body,Grievous Hurt,Mathikere Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,183,Teerth,Head Constable,Crime Branch Officer,Pending Trial,FIR,Non-Heinous,1,Anthony Bhatia,1,Jeet Gandhi,Vamakshi Vasa,0,0,,Pending,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-02-07 01:00:00,2026-02-06 17:00:00,2026-02-06 22:00:00,12.859532,77.701461,Modi impedit error consequatur facilis repudiandae culpa accusamus reiciendis provident iste aperiam corporis pariatur earum repellat voluptas animi.
39,1.0001e+17,202600003,2026-04-25,Cyber Crime,Identity Theft,Kengeri Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,139,Damini,Police Constable,Circle Inspector,Charge Sheeted,FIR,Non-Heinous,2,Oliver Lall; Amaira Sarin,2,Isaiah Cheema; Kala Barad,Banjeet Sethi,1,1,2026-05-31,Filed,IT Act,Cheating by Personation,2026-04-22 22:00:00,2026-04-22 14:00:00,2026-04-22 20:00:00,12.882114,77.57918,Ad delectus culpa tenetur autem nostrum omnis deserunt impedit maxime odit officia impedit nostrum magni aperiam numquam voluptatibus quam labore modi fugiat ipsa.
40,1.0001e+17,202600001,2026-07-04,Crimes Against Public Order,Public Nuisance,Mahadevapura Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,66,Aadi,Asst Sub-Inspector (ASI),Investigating Officer (IO),Undetected,FIR,Non-Heinous,2,Anamika Bala; Chatresh Edwin,1,Balvan Garg,Agastya Sarkar; Mitesh Kala,2,0,,Pending,BNS,Criminal Intimidation,2026-07-03 01:00:00,2026-07-02 20:00:00,2026-07-02 20:00:00,12.93096,77.63406,Voluptas eos unde tempora assumenda magni cumque temporibus sapiente dicta culpa totam deleniti harum nobis fugit sequi ullam voluptatem sapiente modi iusto.
41,1.0001e+17,202600001,2026-01-27,Cyber Crime,Online Financial Fraud,Hebbagodi Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,83,Jyoti,Head Constable,Women's Cell Officer,Undetected,FIR,Non-Heinous,1,Bhavna Sood,1,Anay Banerjee,Harshil Jani,0,0,,Pending,IT Act,Cheating by Personation; Computer Related Offences; Identity Theft,2026-01-26 06:00:00,2026-01-25 16:00:00,2026-01-25 20:00:00,12.916189,77.747149,Voluptate praesentium adipisci consequuntur officia aliquam architecto aliquid sequi quis dicta veritatis modi optio sunt quidem quae fugit.
42,8.0001e+17,202600003,2026-01-01,Traffic & Motor Vehicle Offences,Rash Driving,Madivala Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,277,Hardik,Police Constable,Traffic Officer,Closed - False Case,Zero FIR,Non-Heinous,1,Oscar Singh,1,Alexander Sarin,Maanas Balasubramanian,1,1,2026-01-17,Filed,MV Act,Dangerous Driving; Driving without Insurance; Duty in Accident Cases,2025-12-31 23:00:00,2025-12-31 20:00:00,2025-12-31 21:00:00,12.954422,77.55923,Consequatur recusandae officia eos excepturi ea expedita ut aliquid quis tenetur quo.
43,4.0001e+17,202600002,2026-03-04,Crimes Against Women,Rape,Hebbal Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,159,Anmol,Asst Sub-Inspector (ASI),Women's Cell Officer,Pending Trial,PAR,Non-Heinous,2,Christopher Buch; Charles Narain,2,Fariq Mander; Jack Tara,Champak Swamy; Yachana Palan,2,0,,Pending,BNS,Assault on Woman,2026-03-03 09:00:00,2026-03-03 05:00:00,2026-03-03 08:00:00,12.91744,77.693471,Modi dolor similique at reprehenderit cupiditate a dicta quis voluptate a.
44,1.0001e+17,202600002,2026-07-05,Crimes Against Body,Assault,CEN PS Cyber Crime Cubbon Park,CEN Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,470,Qabil,Sub-Inspector (SI),Traffic Officer,Charge Sheeted,FIR,Non-Heinous,2,Kala Date; Vihaan Khanna,2,Varenya Naik; Vincent Sarna,Ijaya Narain,1,1,2026-08-14,Filed,BNS,Attempt to Murder; Grievous Hurt,2026-07-03 00:00:00,2026-07-02 11:00:00,2026-07-02 16:00:00,12.87012,77.646659,Atque unde tempora quia in officia fuga esse incidunt molestias cupiditate voluptatem occaecati velit consectetur nisi porro non.
